name,year,rank
California Institute of Technology,2013,1
Stanford University,2013,2
University of Oxford,2013,3
Harvard University,2013,4
Massachusetts Institute of Technology,2013,5
Princeton University,2013,6
University of Cambridge,2013,7
Imperial College London,2013,8
"University of California, Berkeley",2013,9
The University of Chicago,2013,10
Yale University,2013,11
ETH Zurich,2013,12
Columbia University,2013,14
University of Pennsylvania,2013,15
Johns Hopkins University,2013,16
Cornell University,2013,18
University of Toronto,2013,21
National University of Singapore,2013,29
Peking University,2013,46
Tsinghua University,2013,52
California Institute of Technology,2014,1
Stanford University,2014,4
University of Oxford,2014,3
Harvard University,2014,2
Massachusetts Institute of Technology,2014,5
Princeton University,2014,6
University of Cambridge,2014,7
Imperial College London,2014,10
"University of California, Berkeley",2014,8
The University of Chicago,2014,9
Yale University,2014,11
ETH Zurich,2014,14
Columbia University,2014,13
University of Pennsylvania,2014,16
Johns Hopkins University,2014,15
Cornell University,2014,19
University of Toronto,2014,20
National University of Singapore,2014,26
Peking University,2014,45
Tsinghua University,2014,50
California Institute of Technology,2015,1
Stanford University,2015,4
University of Oxford,2015,3
Harvard University,2015,2
Massachusetts Institute of Technology,2015,6
Princeton University,2015,7
University of Cambridge,2015,5
Imperial College London,2015,9
"University of California, Berkeley",2015,8
The University of Chicago,2015,11
Yale University,2015,9
ETH Zurich,2015,13
Columbia University,2015,14
University of Pennsylvania,2015,16
Johns Hopkins University,2015,15
Cornell University,2015,19
University of Toronto,2015,20
National University of Singapore,2015,25
Peking University,2015,48
Tsinghua University,2015,49
California Institute of Technology,2016,1
Stanford University,2016,3
University of Oxford,2016,2
Harvard University,2016,6
Massachusetts Institute of Technology,2016,5
Princeton University,2016,7
University of Cambridge,2016,4
Imperial College London,2016,8
"University of California, Berkeley",2016,13
The University of Chicago,2016,10
Yale University,2016,12
ETH Zurich,2016,9
Columbia University,2016,15
University of Pennsylvania,2016,17
Johns Hopkins University,2016,11
Cornell University,2016,18
University of Toronto,2016,19
National University of Singapore,2016,26
Peking University,2016,42
Tsinghua University,2016,47
California Institute of Technology,2017,2
Stanford University,2017,3
University of Oxford,2017,1
Harvard University,2017,6
Massachusetts Institute of Technology,2017,5
Princeton University,2017,7
University of Cambridge,2017,4
Imperial College London,2017,8
"University of California, Berkeley",2017,10
The University of Chicago,2017,11
Yale University,2017,13
ETH Zurich,2017,9
Columbia University,2017,16
University of Pennsylvania,2017,13
Johns Hopkins University,2017,17
Cornell University,2017,19
University of Toronto,2017,22
National University of Singapore,2017,24
Peking University,2017,29
Tsinghua University,2017,35
California Institute of Technology,2018,3
Stanford University,2018,4
University of Oxford,2018,1
Harvard University,2018,6
Massachusetts Institute of Technology,2018,5
Princeton University,2018,7
University of Cambridge,2018,2
Imperial College London,2018,8
"University of California, Berkeley",2018,18
The University of Chicago,2018,9
Yale University,2018,12
ETH Zurich,2018,10
Columbia University,2018,14
University of Pennsylvania,2018,11
Johns Hopkins University,2018,13
Cornell University,2018,19
University of Toronto,2018,22
National University of Singapore,2018,21
Peking University,2018,29
Tsinghua University,2018,30
California Institute of Technology,2019,5
Stanford University,2019,3
University of Oxford,2019,1
Harvard University,2019,6
Massachusetts Institute of Technology,2019,4
Princeton University,2019,7
University of Cambridge,2019,2
Imperial College London,2019,9
"University of California, Berkeley",2019,15
The University of Chicago,2019,10
Yale University,2019,8
ETH Zurich,2019,11
Columbia University,2019,16
University of Pennsylvania,2019,13
Johns Hopkins University,2019,12
Cornell University,2019,19
University of Toronto,2019,21
National University of Singapore,2019,23
Peking University,2019,31
Tsinghua University,2019,22
California Institute of Technology,2020,2
Stanford University,2020,4
University of Oxford,2020,1
Harvard University,2020,7
Massachusetts Institute of Technology,2020,5
Princeton University,2020,6
University of Cambridge,2020,3
Imperial College London,2020,10
"University of California, Berkeley",2020,13
The University of Chicago,2020,9
Yale University,2020,8
ETH Zurich,2020,14
Columbia University,2020,16
University of Pennsylvania,2020,11
Johns Hopkins University,2020,12
Cornell University,2020,19
University of Toronto,2020,18
National University of Singapore,2020,25
Peking University,2020,24
Tsinghua University,2020,23
California Institute of Technology,2021,4
Stanford University,2021,2
University of Oxford,2021,1
Harvard University,2021,3
Massachusetts Institute of Technology,2021,5
Princeton University,2021,9
University of Cambridge,2021,6
Imperial College London,2021,11
"University of California, Berkeley",2021,7
The University of Chicago,2021,10
Yale University,2021,8
ETH Zurich,2021,14
Columbia University,2021,17
University of Pennsylvania,2021,13
Johns Hopkins University,2021,12
Cornell University,2021,19
University of Toronto,2021,18
National University of Singapore,2021,25
Peking University,2021,23
Tsinghua University,2021,20
California Institute of Technology,2022,2
Stanford University,2022,4
University of Oxford,2022,1
Harvard University,2022,3
Massachusetts Institute of Technology,2022,6
Princeton University,2022,7
University of Cambridge,2022,5
Imperial College London,2022,12
"University of California, Berkeley",2022,8
The University of Chicago,2022,10
Yale University,2022,9
ETH Zurich,2022,15
Columbia University,2022,11
University of Pennsylvania,2022,14
Johns Hopkins University,2022,13
Cornell University,2022,22
University of Toronto,2022,18
National University of Singapore,2022,21
Peking University,2022,16
Tsinghua University,2022,17
California Institute of Technology,2023,6
Stanford University,2023,4
University of Oxford,2023,1
Harvard University,2023,2
Massachusetts Institute of Technology,2023,5
Princeton University,2023,7
University of Cambridge,2023,3
Imperial College London,2023,10
"University of California, Berkeley",2023,8
The University of Chicago,2023,13
Yale University,2023,9
ETH Zurich,2023,12
Columbia University,2023,11
University of Pennsylvania,2023,14
Johns Hopkins University,2023,15
Cornell University,2023,20
University of Toronto,2023,18
National University of Singapore,2023,19
Peking University,2023,17
Tsinghua University,2023,16
