location,loc_count
Algeria,1
Australia,36
Austria,11
Bangladesh,2
Belgium,10
Brazil,8
Brunei,1
Canada,30
Chile,6
China,64
Colombia,2
Costa Rica,1
Cyprus,3
Czech Republic,3
Denmark,7
Egypt,16
Estonia,2
Ethiopia,2
Finland,10
France,31
Germany,49
Ghana,1
Greece,9
Hong Kong,6
Hungary,2
Iceland,2
India,37
Iran,32
Iraq,2
Ireland,8
Israel,6
Israel,6
Italy,54
Jamaica,1
Japan,22
Jordan,3
Kenya,1
Kuwait,1
Latvia,2
Lebanon,3
Lithuania,2
Luxembourg,1
Macao,2
Malaysia,11
Malta,1
Mexico,1
Mozambique,1
Namibia,1
Nepal,1
Netherlands,13
New Zealand,8
Nigeria,3
Northern Cyprus,2
Norway,6
Oman,1
Pakistan,20
Palestine,1
Peru,1
Philippines,2
Poland,5
Portugal,9
Qatar,1
Romania,2
Russia,18
Saudi Arabia,19
Serbia,2
Singapore,2
Slovenia,1
South Africa,11
South Korea,18
Spain,27
Sri Lanka,2
Sweden,13
Switzerland,12
Taiwan,11
Tanzania,1
Thailand,4
Turkey,13
Uganda,1
Ukraine,2
United Arab Emirates,6
United Kingdom,92
United States of America,160
Vietnam,2
Zambia,1
