name,ovr_score,ovr_rank,tch_score,tch_rank,res_score,res_rank,cit_score,cit_rank,ind_score,ind_rank,int_score,int_rank,std_stat,std_rank,stf_stat,stf_rank,int_stat,int_rank
University of Oxford,96.4,1,92.3,5,99.7,1,99,26,74.9,157,96.2,27,"20,965",711,10.6,1523,42%,47
Harvard University,95.2,2,94.8,1,99,3,99.3,20,49.5,416,80.5,214,"21,887",674,9.6,1608,25%,220
University of Cambridge,94.8,3,90.9,6,99.5,2,97,60,54.2,335,95.8,34,"20,185",740,11.3,1456,39%,70
Stanford University,94.8,4,94.2,2,96.7,6,99.8,14,65,231,79.8,221,"16,164",938,7.1,1731,24%,233
Massachusetts Institute of Technology,94.2,5,90.7,8,93.6,11,99.8,15,90.9,62,89.3,118,"11,415",1216,8.2,1685,33%,112
California Institute of Technology,94.1,6,90.9,7,97,5,97.3,54,89.8,69,83.6,176,"2,237",1750,6.2,1750,34%,108
Princeton University,92.4,7,87.6,12,95.9,8,99.1,24,66,220,80.3,215,"8,279",1443,8,1697,23%,250
"University of California, Berkeley",92.1,8,86.4,14,95.8,9,99,27,76.8,145,78.4,238,"40,921",181,18.4,689,24%,225
Yale University,91.4,9,92.6,3,92.7,14,97,61,55,320,70.9,334,"13,482",1094,5.9,1756,21%,313
Imperial College London,90.4,10,82.8,16,90.8,17,98.3,39,59.8,274,97.5,17,"18,545",817,11.2,1472,61%,12
Columbia University,89.4,11,89.4,10,87.7,21,97.1,57,44.8,569,79.9,218,"21,781",680,4.5,1771,38%,74
ETH Zurich,89.4,12,82.6,17,95.4,10,90.7,133,59.1,279,97.7,15,"21,665",685,14.8,1068,41%,52
The University of Chicago,88.9,13,86.5,13,88.8,19,97.7,48,56.2,303,74.2,284,"15,366",989,6,1753,36%,90
University of Pennsylvania,88.8,14,86,15,88.8,20,97,63,75.8,150,71.5,327,"21,453",691,6.3,1747,23%,251
Johns Hopkins University,88.3,15,79.4,21,91.5,15,97,62,89.5,73,75.3,266,"17,584",875,4.7,1766,29%,159
Tsinghua University,88.2,16,90.1,9,97.4,4,88,180,100,2,40.3,949,"38,324",220,11.6,1422,10%,711
